@RELATION offres_emploi_maroc

@ATTRIBUTE desc_length NUMERIC
@ATTRIBUTE word_count NUMERIC
@ATTRIBUTE is_remote {0,1}
@ATTRIBUTE has_education {0,1}
@ATTRIBUTE has_experience {0,1}
@ATTRIBUTE location {casablanca,rabat,marrakech,tanger,agadir,fes,mohammedia,sale,kenitra,autre}
@ATTRIBUTE category {IT_DEVELOPPEMENT,JURIDIQUE_DROIT,SANTE_MEDICAL,ENERGIE_ENVIRONNEMENT,TELECOM_RESEAUX,BATIMENT_CONSTRUCTION,ADMIN_SYSTEME_CLOUD,EDUCATION_FORMATION,COMMERCIAL_VENTE,MARKETING_COM,RESSOURCES_HUMAINES,COMPTABILITE_FINANCE,LOGISTIQUE_TRANSPORT,PRODUCTION_INDUSTRIE,ADMINISTRATIF_SUPPORT,MANAGEMENT_DIRECTION,DATA_IA,INGENIERIE,SPECIAL_AUTRES,AUTRE_SECTEUR}

@DATA
370,39,0,0,0,rabat,TELECOM_RESEAUX
360,49,1,0,0,casablanca,DATA_IA
459,57,0,0,0,rabat,MARKETING_COM
401,48,0,1,0,rabat,ADMINISTRATIF_SUPPORT
392,51,0,1,1,rabat,DATA_IA
382,49,0,1,1,rabat,MANAGEMENT_DIRECTION
304,36,0,1,0,casablanca,LOGISTIQUE_TRANSPORT
492,63,0,0,1,autre,IT_DEVELOPPEMENT
377,51,0,1,1,autre,IT_DEVELOPPEMENT
297,44,0,1,1,casablanca,JURIDIQUE_DROIT
339,48,0,1,1,casablanca,DATA_IA
416,53,0,0,1,autre,SPECIAL_AUTRES
373,58,0,1,0,autre,SPECIAL_AUTRES
399,55,0,0,0,rabat,DATA_IA
345,48,0,0,1,rabat,SPECIAL_AUTRES
429,58,0,1,0,agadir,COMMERCIAL_VENTE
428,60,0,1,0,autre,MANAGEMENT_DIRECTION
361,44,0,0,0,casablanca,DATA_IA
350,45,0,1,0,autre,SPECIAL_AUTRES
365,56,0,1,0,autre,PRODUCTION_INDUSTRIE
404,54,0,1,0,sale,ADMINISTRATIF_SUPPORT
374,53,0,1,0,casablanca,DATA_IA
328,51,0,1,0,autre,PRODUCTION_INDUSTRIE
418,54,0,1,0,rabat,DATA_IA
360,54,0,1,0,rabat,IT_DEVELOPPEMENT
337,43,0,1,0,casablanca,SPECIAL_AUTRES
366,48,0,0,0,fes,COMMERCIAL_VENTE
419,56,0,1,1,casablanca,ADMINISTRATIF_SUPPORT
316,43,0,1,0,casablanca,SPECIAL_AUTRES
349,46,0,1,1,casablanca,SPECIAL_AUTRES
357,52,0,1,1,casablanca,DATA_IA
391,53,0,1,1,casablanca,IT_DEVELOPPEMENT
386,55,0,1,0,fes,ADMINISTRATIF_SUPPORT
342,45,0,1,1,casablanca,MANAGEMENT_DIRECTION
392,53,0,1,0,autre,PRODUCTION_INDUSTRIE
401,57,0,0,1,rabat,SPECIAL_AUTRES
459,63,0,1,0,casablanca,PRODUCTION_INDUSTRIE
498,65,0,1,1,casablanca,PRODUCTION_INDUSTRIE
357,36,0,0,0,rabat,TELECOM_RESEAUX
371,49,1,0,0,casablanca,DATA_IA
360,45,1,0,0,casablanca,SPECIAL_AUTRES
402,55,0,1,1,rabat,RESSOURCES_HUMAINES
382,55,0,1,0,rabat,COMMERCIAL_VENTE
457,63,0,0,1,casablanca,COMPTABILITE_FINANCE
252,32,0,1,0,casablanca,SPECIAL_AUTRES
467,74,0,1,0,rabat,DATA_IA
345,50,0,0,1,rabat,COMPTABILITE_FINANCE
421,57,0,1,1,casablanca,SPECIAL_AUTRES
404,54,0,1,1,casablanca,COMMERCIAL_VENTE
334,49,0,0,0,casablanca,DATA_IA
378,50,0,1,0,kenitra,DATA_IA
398,55,0,0,1,tanger,RESSOURCES_HUMAINES
455,59,0,0,0,rabat,DATA_IA
464,59,0,1,0,casablanca,PRODUCTION_INDUSTRIE
386,53,0,1,0,casablanca,DATA_IA
444,62,0,1,0,casablanca,PRODUCTION_INDUSTRIE
484,69,0,1,1,casablanca,INGENIERIE
434,62,0,0,0,casablanca,MANAGEMENT_DIRECTION
368,52,0,1,1,casablanca,SPECIAL_AUTRES
374,53,0,1,1,casablanca,DATA_IA
440,64,0,0,1,casablanca,IT_DEVELOPPEMENT
357,51,0,1,0,agadir,MANAGEMENT_DIRECTION
442,64,0,1,0,autre,COMMERCIAL_VENTE
337,43,0,1,0,sale,SPECIAL_AUTRES
405,56,0,0,0,autre,COMMERCIAL_VENTE
383,51,0,0,1,autre,COMMERCIAL_VENTE
355,48,0,0,0,autre,IT_DEVELOPPEMENT
426,60,0,0,0,autre,COMMERCIAL_VENTE
385,56,0,0,0,autre,ENERGIE_ENVIRONNEMENT
470,63,0,0,0,autre,ENERGIE_ENVIRONNEMENT
361,47,0,1,0,casablanca,SPECIAL_AUTRES
376,47,0,0,1,autre,COMMERCIAL_VENTE
465,60,0,0,0,casablanca,DATA_IA
402,57,0,0,0,casablanca,DATA_IA
313,45,0,0,0,autre,ENERGIE_ENVIRONNEMENT
494,62,0,1,0,casablanca,SPECIAL_AUTRES
448,64,0,0,0,autre,SANTE_MEDICAL
373,53,0,1,0,fes,MANAGEMENT_DIRECTION
354,48,0,0,0,autre,COMMERCIAL_VENTE
390,54,0,0,0,autre,SPECIAL_AUTRES
365,48,0,0,0,rabat,SPECIAL_AUTRES
429,65,0,0,0,autre,SPECIAL_AUTRES
393,51,0,0,0,autre,COMMERCIAL_VENTE
297,43,0,0,0,autre,COMMERCIAL_VENTE
370,54,0,0,0,autre,ENERGIE_ENVIRONNEMENT
365,53,0,0,0,rabat,COMMERCIAL_VENTE
331,52,0,1,0,autre,SPECIAL_AUTRES
481,65,0,1,0,casablanca,DATA_IA
415,58,0,0,0,autre,MANAGEMENT_DIRECTION
344,47,0,1,0,tanger,DATA_IA
305,40,0,1,0,tanger,DATA_IA
419,60,0,0,0,casablanca,COMMERCIAL_VENTE
371,51,0,0,0,casablanca,SPECIAL_AUTRES
349,48,0,0,0,casablanca,SPECIAL_AUTRES
379,47,0,0,1,casablanca,COMPTABILITE_FINANCE
341,48,0,0,0,casablanca,MANAGEMENT_DIRECTION
359,54,0,0,1,rabat,COMPTABILITE_FINANCE
499,67,0,1,1,kenitra,DATA_IA
303,38,0,0,0,rabat,PRODUCTION_INDUSTRIE
432,62,0,0,0,rabat,MANAGEMENT_DIRECTION
337,45,0,0,0,rabat,DATA_IA
393,56,0,0,0,rabat,SPECIAL_AUTRES
406,57,0,1,0,autre,SPECIAL_AUTRES
418,52,0,1,1,agadir,PRODUCTION_INDUSTRIE
397,57,0,1,0,rabat,SPECIAL_AUTRES
346,50,0,1,0,rabat,RESSOURCES_HUMAINES
386,50,0,0,1,casablanca,ADMINISTRATIF_SUPPORT
391,56,0,1,0,casablanca,SPECIAL_AUTRES
359,51,0,1,0,marrakech,DATA_IA
360,49,0,0,0,rabat,MANAGEMENT_DIRECTION
450,61,0,0,0,fes,MANAGEMENT_DIRECTION
421,57,0,0,0,autre,MANAGEMENT_DIRECTION
391,51,0,0,0,sale,MANAGEMENT_DIRECTION
366,53,0,0,0,agadir,MANAGEMENT_DIRECTION
419,56,0,0,0,casablanca,MANAGEMENT_DIRECTION
406,59,0,1,1,autre,DATA_IA
376,51,0,1,0,casablanca,DATA_IA
367,48,0,1,0,rabat,IT_DEVELOPPEMENT
418,54,0,1,0,marrakech,SPECIAL_AUTRES
